id,video_id,author,text,abusive
Ugg-760PTdEPkXgCoAEC,3KyjqEmLJ7E,ИЛЬЯ МУРОМЕЦ,всем холодный душ из водомётов и не одного европидо ста не останеться ,True
UgjBgygn4Vx-XngCoAEC,BU3i_j000iA,171marela,я поляк я люблю тебе ,False
UgiV35tri5TvZ3gCoAEC,fcfF_63Rk_o,Red Scorpio,автор хуй из рта вытащи беркут герои ,True
UgiYhfSCC5t3o3gCoAEC,5eTgme4dcFg,Яга Баба-Яга,позор януковичу не замочил майданщиков продажная скотина ,True
UghO9NcLpbcEIXgCoAEC.7-H0Z7-3vFX70NqAnnuUSs,gWKCJyq_kJ8,Zavalnik Zav,легче всего обвинять россию ,False
UghgaPgvjnQfzHgCoAEC,T6IbEIBhb8o,Мего лалка,росия говно україна країна героїв ,True
UgjMFUtRFb-b4HgCoAEC,T6IbEIBhb8o,MrDjvira,эх с танком бы куда круче смотрелось ,False
UggxI35J2d-2eHgCoAEC,XW6hWPZglv8,Саша Фисюк,як так можна брат на брата ,False
UgiMA8qotespPHgCoAEC.7-H0Z7-UWX07-IUAKO6NxB,SwZ_LW9NsUE,Вячеслав Савельев, владимир владимирович кто бы говорил ,False
UgihcfQzWHplgHgCoAEC,zCmV4dX5tgs,XOXLAND,сука она продажная сколько ей платят за этот бред тварь как её ещё слушают люди и терпят это ,True
Ughiz4ANdPijkXgCoAEC,rngYEzRxlWU,339310able,что же ты не спишь сша там где ты всегда война ,False
UggAUX1vUDbJ-XgCoAEC,xZUzfzTLD4U,Suri,ну что ребята прислушаемся к словам янушеску вставай украина ,True
UgjH1P3xVtimBHgCoAEC,KUCR8xORoUo,Aleksey Kokleev,мы же один народ вы друг друга ненавидите так нельзя ,False
Ugy97_tlv6lme9BErd14AaABAg.8_RaX4bMVl28_SbhmOax1X,RMxbOKbjX3A,Андрей Н,роман сыроватко страна стремительно деградирует из за таких тупых уродов как ты ,True
Ugiehjm10a5Fd3gCoAEC.7-H0Z7-KDVY7-NkL6heNSZ,Ftny4OUEc6I,Oleg Hrolfr, сеера макс я живу в восточной украине уж здесь самая задница ,True
Ugj_juuAOLnEK3gCoAEC.7-H0Z7--GGH7-QkusDivra,xZUzfzTLD4U,TheCharlieGordon, я українець а мне пофиг мне коврик нужен реальность как раз именно логике он и поддается если бы люди руководствовались просто логикой такие тупые ситуации были бы невозможны зачем кому то или чему то служить вообще люди рождаются не для того чтобы служить разве беркутовцы служат развен это не работа они не могут просто уволиться военные понятно они присягали какому то абстрактному государству формально они связаны обязательствами ,True
UgjEIsz1F-4ikXgCoAEC,T6IbEIBhb8o,Dmitry Semenenko,на видео анти террористический отряд сбу а не беркут допрыгались теперь валить будут ,False
UghWRefj7Pzr_3gCoAEC,NiT0zcDA9RU,Dima Maximencko,правильно делают что мнут бока быдлоте которая вышла за гривень на площадь жалко не применили водомёты ,True
UggpvE5RiAbDP3gCoAEC.7-H0Z7-7Tk97-SgaWR06Vu,zCmV4dX5tgs,Дмитрий Жуков,угу между псковом и новгородом тоже не может быть никаких союзов а еще между мурманском и владивостоком между киевом и москвой между питером и челябинском ,False
UggrnscwTfj8A3gCoAEC.7-H0Z7-AlLD7-H9g2nVxXS,IqFdatdem64,Виктор Головьев,жаль что так получилось ,False
Ugi8fALTQTSXPXgCoAEC,P0lJZttUnHE,Дракон Глаурунг,обычно люди пытаются вытереть лицо а эти специально такие ходят чтобы больше эффекта были получили звизды ,True
UggTUmvh4XdcPXgCoAEC,KUCR8xORoUo,Dima Jimmy,до сашо завжди була і є велика повага ,False
Ugj04IDXkR84DHgCoAEC.7-H0Z7-QRtA7-ae76IDIre,IqFdatdem64,Oksana Ukraine,героям слава ,False
UginuofL02bkZHgCoAEC,zCmV4dX5tgs,валерий половянский,а я думаю хакамада очень умная женщина а крашенинникова российская шовинистка если украинец любит свою родину он националист россиянин любит свою родину он патриот ребятки как это понимать ,False
UgipG8jqW_mve3gCoAEC,ihixlCUv3tY,wragIII,ахаха так и надо мразям либерастам беркуту зачет ,True
UgjRpwLR0Ti7qXgCoAEC,o9hyneGbGoM,Евгений Шульган,вместо того что бы работать ходят машут флагами и катаются на мопедах работать надо на благо своего будующего ,False
Ugixss9VD__6BHgCoAEC,xZUzfzTLD4U,backtobecks,с такими людьми рядом не страшно было умирать спасибо майдану ,False
UggmjVCvayZ6PXgCoAEC.7-H0Z7-3-6c7-R6D4CufpA,AyVvGv4Seag,stanyuk,ещё один зомбированный москалёныш бедааа ,False
UggfYSjT3Zh9FXgCoAEC.7-H0Z7-EV1E7-OHGbTsP6H,xZUzfzTLD4U,Arseniy Yavorśkyi,вже є вулиці досі повні ,False
Ugg0z9YCKgZETngCoAEC,T6IbEIBhb8o,keloheal,кто то бабла рубит на этом мероприятии сейчас неплохое хули желеть беркут или нет они наемники им платят за это народ реально жалко что достались такие ушлепки у власти хз что будет дальше но дальше уже не будет как раньше ,True
Ugg7m8FbUULy83gCoAEC.7-H0Z7-7lHd70bHXeR2uKm,TATn7Q207y0,NiColaj V, дмитрий киевлянин когда коммандировочные беркуту от яныка около штуки баксов в день сложно им думать о совести ,False
UggQq9ZN1zFpkngCoAEC,zCmV4dX5tgs,Виктор ка,соловьёв красавчик всегда мне нравился короткими вставками ,False
UggadD_sEFImS3gCoAEC,GnuEojquj7E,Диванный Эксперт,я бы открыл стрельбу по талпе ведь они угражают жизни своими булыжниками и цепями в пендосси уже бы растреляли ,True
